Vehicle Type/Size,Vehicle Color,Vehicle Movement Direction,Vehicle Speed (km/h),Day,Month,Date,Hours,Minutes,Seconds
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,32
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,32
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,33
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,33
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,33
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,33
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,33
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,33
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,33
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,34
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,34
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,34
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,34
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,34
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,34
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,35
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,35
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,35
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,35
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,35
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,35
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,35
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,36
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,36
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,36
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,36
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,36
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,36
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,36
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,37
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,37
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,37
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,37
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,37
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,37
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,38
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,38
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,38
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,38
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,38
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,38
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,38
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,39
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,39
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,39
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,39
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,39
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,39
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,40
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,40
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,40
waiting...,waiting...,waiting...,Thu,Nov, 8,16,28,40
